,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income before tax,Luxury expenses,FINATXEM,Income minus total expenses,possible savings
0,3566504,11869.75,42.0,3771.0,3739.0,1690.0,130383,2627.75,90691.9,10803.224999999999,3601.0749999999994
1,3566514,7753.0,465.0,772.0,3689.0,1365.0,63421,1462.0,63421.0,8102.25,2700.75
2,3566534,77432.75,4191.0,5536.0,24224.75,3931.0,1114425,39550.0,-191620.6,-125337.9,-41779.299999999996
3,3566544,16488.75,1151.0,3351.0,2593.0,3640.0,154800,5753.75,136908.0,17738.25,5912.75
4,3566624,8518.3,0.0,2805.0,2733.5,1885.0,54040,1094.7999999999993,54347.4,5068.550000000001,1689.516666666667
5,3566634,18100.3,385.0,335.0,11116.0,3055.0,138000,3209.2999999999993,127208.6,13701.850000000002,4567.283333333334
6,3566644,7138.75,299.0,1748.0,1467.0,2560.0,29170,1064.75,25620.0,-733.75,-244.58333333333334
7,3566664,1510.0,0.0,0.0,450.0,910.0,21744,150.0,11882.4,1460.6,486.8666666666666
8,3566704,5143.35,288.0,278.0,2370.0,1235.0,8000,972.3500000000004,16501.0,-1018.1000000000004,-339.3666666666668
9,3566714,4356.95,0.0,0.0,2192.0,1027.0,11859,1137.9499999999998,63684.1,11564.075,3854.691666666667
10,3566754,11952.5,265.0,1725.0,4085.0,2210.0,83200,3667.5,66242.4,4608.0999999999985,1536.0333333333328
11,3566764,99687.26,1835.0,28215.0,22385.5,1578.0,200049,45673.759999999995,160288.2,-59615.20999999999,-19871.736666666664
12,3566784,5084.0,218.0,195.0,3174.0,650.0,19248,847.0,19248.0,-272.0,-90.66666666666667
13,3566864,21384.35,1094.0,1445.0,6966.0,2490.0,122350,9389.349999999999,123651.6,9528.550000000003,3176.1833333333343
14,3566924,11547.4,183.0,300.0,5961.0,3120.0,49000,1983.3999999999996,46353.4,40.95000000000073,13.650000000000242
15,3566934,7949.0,106.0,1158.0,4324.0,1346.0,0,1015.0,13155.4,-4660.15,-1553.3833333333332
16,3566944,8305.0,248.0,1152.0,2033.0,1170.0,24365,3702.0,26405.0,-1703.75,-567.9166666666666
17,3566954,10543.05,254.0,920.0,4640.0,2795.0,0,1934.0499999999993,49013.8,1710.4000000000015,570.1333333333338
18,3566984,22798.337000000003,473.0,2856.0,8372.0,1590.0,153200,9507.337000000003,169487.6,19573.563,6524.521
19,3567004,9291.55,333.0,750.0,2220.0,2730.0,0,3258.5499999999993,36311.0,-213.79999999999927,-71.26666666666642
20,3567034,8252.6,60.0,3693.0,1773.0,1600.0,0,1126.6000000000004,35217.2,551.6999999999989,183.89999999999964
21,3567044,7143.25,204.0,895.0,3413.0,1040.0,22638,1591.25,22882.0,-1422.75,-474.25
